ID,class,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color
1,p,e,e,s,s,w,w,p,w,o,p,k
2,e,e,c,s,s,w,w,p,w,o,p,n
3,e,e,c,s,s,w,w,p,w,o,p,n
4,p,e,e,s,s,w,w,p,w,o,p,k
5,e,t,e,s,s,w,w,p,w,o,e,n
6,e,e,c,s,s,w,w,p,w,o,p,k
7,e,e,c,s,s,w,w,p,w,o,p,k
8,e,e,c,s,s,w,w,p,w,o,p,n
9,p,e,e,s,s,w,w,p,w,o,p,k
10,e,e,c,s,s,w,w,p,w,o,p,k
11,e,e,c,s,s,w,w,p,w,o,p,n
12,e,e,c,s,s,w,w,p,w,o,p,k
13,e,e,c,s,s,w,w,p,w,o,p,n
14,p,e,e,s,s,w,w,p,w,o,p,n
15,e,t,e,s,f,w,w,p,w,o,e,k
16,e,e,e,s,s,w,w,p,w,o,p,n
17,e,t,e,s,s,w,w,p,w,o,e,n
18,p,e,e,s,s,w,w,p,w,o,p,k
19,p,e,e,s,s,w,w,p,w,o,p,n
20,p,e,e,s,s,w,w,p,w,o,p,n
21,e,e,c,s,s,w,w,p,w,o,p,n
22,p,e,e,s,s,w,w,p,w,o,p,n
23,e,e,c,s,s,w,w,p,w,o,p,n
24,e,e,c,s,s,w,w,p,w,o,p,n
25,e,e,c,s,s,w,w,p,w,o,p,k
26,p,e,e,s,s,w,w,p,w,o,p,n
27,e,e,c,s,s,w,w,p,w,o,p,n
28,e,e,c,s,s,w,w,p,w,o,p,n
29,e,e,e,s,s,w,w,p,w,o,p,k
30,e,t,b,s,s,w,w,p,w,o,p,n
31,e,e,c,s,s,w,w,p,w,o,p,n
32,p,e,e,s,s,w,w,p,w,o,p,n
33,e,e,c,s,s,w,w,p,w,o,p,n
34,e,e,r,s,y,w,w,p,w,o,p,n
35,e,e,c,s,s,w,w,p,w,o,p,n
36,e,t,b,s,s,w,w,p,w,o,p,n
37,e,e,e,s,s,w,w,p,w,o,p,k
38,p,e,e,s,s,w,w,p,w,o,p,n
39,e,t,b,s,s,w,w,p,w,o,p,n
40,e,e,c,s,s,w,w,p,w,o,p,k
41,e,e,c,s,s,w,w,p,w,o,p,n
42,e,e,r,s,y,w,w,p,w,o,p,k
43,e,e,e,s,s,w,w,p,w,o,p,k
44,p,e,e,s,s,w,w,p,w,o,p,n
45,e,e,c,s,s,w,w,p,w,o,p,k
46,e,e,c,s,s,w,w,p,w,o,p,n
47,e,e,c,s,s,w,w,p,w,o,p,k
48,e,e,c,s,s,w,w,p,w,o,p,n
49,e,e,r,s,y,w,w,p,w,o,p,n
50,e,e,r,s,y,w,w,p,w,o,p,k
51,e,e,r,s,y,w,w,p,w,o,p,k
52,e,e,c,s,s,w,w,p,w,o,p,k
53,e,e,c,s,s,w,w,p,w,o,p,n
54,p,e,e,s,s,w,w,p,w,o,p,n
55,p,e,e,s,s,w,w,p,w,o,p,k
56,e,e,c,s,s,w,w,p,w,o,p,k
57,e,t,e,s,s,w,w,p,w,o,e,n
58,e,e,c,s,s,w,w,p,w,o,p,n
59,e,e,c,s,s,w,w,p,w,o,p,k
60,e,e,r,s,y,w,w,p,w,o,p,k
61,e,e,e,s,s,w,w,p,w,o,p,n
62,e,e,c,s,s,w,w,p,w,o,p,n
63,e,e,c,s,s,w,w,p,w,o,p,n
64,e,e,c,s,s,w,w,p,w,o,p,n
65,e,e,c,s,s,w,w,p,w,o,p,n
66,e,t,e,s,s,w,w,p,w,o,e,k
67,e,e,c,s,s,w,w,p,w,o,p,k
68,e,e,r,s,y,w,w,p,w,o,p,n
69,e,e,c,s,s,w,w,p,w,o,p,k
70,e,e,e,s,s,w,w,p,w,o,p,n
71,e,t,b,s,s,w,w,p,w,o,p,n
72,e,e,c,s,s,w,w,p,w,o,p,n
73,e,t,b,s,s,w,w,p,w,o,p,n
74,e,e,r,s,y,w,w,p,w,o,p,k
75,e,e,c,s,s,w,w,p,w,o,p,k
76,e,t,b,s,s,w,w,p,w,o,p,n
77,e,t,b,s,s,w,w,p,w,o,p,u
78,e,e,r,s,y,w,w,p,w,o,p,n
79,p,e,e,s,s,w,w,p,w,o,p,n
80,e,e,r,s,y,w,w,p,w,o,p,n
81,e,t,e,f,s,w,w,p,w,o,e,n
82,p,e,e,s,s,w,w,p,w,o,p,k
83,e,e,e,s,s,w,w,p,w,o,p,n
84,e,t,e,s,s,w,w,p,w,o,e,n
85,e,e,r,s,y,w,w,p,w,o,p,k
86,e,t,e,s,s,w,w,p,w,o,e,k
87,e,e,c,s,s,w,w,p,w,o,p,k
88,e,e,c,s,s,w,w,p,w,o,p,n
89,e,e,r,s,y,w,w,p,w,o,p,k
90,e,e,e,s,s,w,w,p,w,o,p,n
